kmage;miles;priceRUB;priceUSD;vol;power;fuel
26556;16465;1139000;15496,6;1,4;122;Бензин
137000;84940;850000;11564,6;1,4;150;Бензин
127726;79190;763000;10381,0;2,0;170;Бензин
114000;70680;925000;12585,0;2,0;170;Бензин
18500;11470;2170000;29523,8;1,4;150;Бензин
109028;67597;1899000;25836,7;2,0;150;Дизель
97000;60140;1390000;18911,6;2,0;170;Бензин
92409;57294;1855000;25238,1;2,0;150;Дизель
22445;13916;1881000;25591,8;1,4;150;Бензин
125935;78080;1475000;20068,0;1,4;150;Бензин
95943;59485;1235000;16802,7;1,4;125;Бензин
92000;57040;799000;10870,8;1,4;150;Бензин
136000;84320;699000;9510,2;2,0;170;Бензин
138000;85560;1250000;17006,8;2,0;180;Бензин
71077;44068;1290000;17551,0;2,0;170;Бензин
107899;66897;1225000;16666,7;2,0;170;Бензин
105000;65100;1600000;21768,7;1,4;150;Бензин
83000;51460;1395000;18979,6;2,0;140;Дизель
55000;34100;1435000;19523,8;2,0;140;Дизель
139105;86245;859000;11687,1;1,4;150;Бензин
70380;43636;1379000;18761,9;1,4;125;Бензин
55555;34444;960000;13061,2;1,4;150;Бензин
51275;31790;2110000;28707,5;2,0;150;Дизель
0;0;1961900;26692,5;1,4;150;Бензин
130000;80600;750000;10204,1;2,0;170;Бензин
140150;86893;1035000;14081,6;2,0;170;Бензин
99800;61876;1990000;27074,8;2,0;180;Бензин
251800;156116;749000;10190,5;2,0;140;Дизель
57418;35599;1680000;22857,1;1,4;150;Бензин
175581;108860;985000;13401,4;2,0;140;Дизель
116000;71920;1096000;14911,6;2,0;170;Бензин
67000;41540;1399000;19034,0;2,0;180;Бензин
102751;63706;980000;13333,3;1,4;150;Бензин
131521;81543;1020000;13877,5;2,0;140;Дизель
0;0;2844400;38699,3;2,0;180;Бензин
52000;32240;1299000;17673,5;2,0;170;Бензин
0;0;2527600;34389,1;2,0;180;Бензин
0;0;2396400;32604,1;2,0;180;Бензин
98859;61293;798000;10857,1;1,4;150;Бензин
85000;52700;1189000;16176,9;2,0;170;Бензин
85310;52892;1881000;25591,8;1,4;150;Бензин
31000;19220;1950000;26530,6;1,4;150;Бензин
91000;56420;2160000;29387,8;2,0;220;Бензин
158000;97960;949000;12911,6;2,0;170;Бензин
49125;30458;2289000;31142,9;2,0;180;Бензин
24500;15190;2250000;30612,2;2,0;180;Бензин
0;0;2064900;28093,9;1,4;150;Бензин
0;0;3053300;41541,5;2,0;180;Бензин
117000;72540;1220000;16598,6;2,0;140;Дизель
0;0;2550700;34703,4;2,0;180;Бензин
94920;58850;1000000;13605,4;2,0;170;Бензин
162170;100545;879000;11959,2;2,0;140;Дизель
173000;107260;750000;10204,1;2,0;200;Бензин
161000;99820;770000;10476,2;2,0;170;Бензин
85000;52700;860000;11700,7;1,4;150;Бензин
47000;29140;1950000;26530,6;2,0;180;Бензин
